12.930, -0.010, 0.000,  0.000
12.934, -0.009, 0.000,  0.253
12.934, -0.009, 0.000,  0.297
12.934, -0.009, 0.000,  0.585
12.934, -0.009, 0.000,  0.637
12.934, -0.009, 0.000,  0.686
12.934, -0.009, 0.000,  0.951
12.934, -0.009, 0.000,  1.000
12.934, -0.009, 0.000,  1.049
12.934, -0.009, 0.000,  1.329
12.934, -0.009, 0.000,  1.378
12.934, -0.009, 0.000,  1.427
12.735, 0.552, 2.284,  1.960
12.706, 0.620, 2.400,  1.998
12.652, 0.742, 2.596,  2.047
12.527, 1.421, 2.556,  2.307
12.516, 1.544, 2.467,  2.356
12.508, 1.661, 2.375,  2.405
12.476, 3.002, 1.154,  3.202
12.477, 3.057, 1.103,  3.250
12.479, 3.108, 1.054,  3.298
12.492, 3.338, 0.839,  3.545
12.495, 3.377, 0.803,  3.593
12.498, 3.413, 0.743,  3.640
12.513, 3.526, 0.368,  3.868
12.515, 3.547, 0.429,  3.916
12.519, 3.566, 0.381,  3.963
12.542, 3.663, 0.506,  4.206
12.548, 3.688, 0.578,  4.253
12.556, 3.716, 0.638,  4.301
12.586, 3.905, 0.934,  4.544
12.593, 3.952, 1.016,  4.593
12.601, 4.003, 1.062,  4.640
12.639, 4.269, 1.089,  4.883
12.647, 4.320, 1.054,  4.931
12.655, 4.370, 1.015,  4.979
12.696, 4.588, 0.822,  5.225
12.704, 4.626, 0.786,  5.273
12.711, 4.661, 0.729,  5.321
12.731, 4.775, 0.386,  5.557
12.735, 4.791, 0.348,  5.605
12.766, 4.906, 0.667,  5.880
12.776, 4.939, 0.737,  5.930
12.788, 4.978, 0.885,  5.978
12.843, 5.193, 0.925,  6.221
12.855, 5.237, 0.978,  6.269
12.866, 5.281, 0.942,  6.317
12.903, 5.483, 0.703,  6.561
12.908, 5.514, 0.608,  6.610
12.914, 5.542, 0.572,  6.659
12.950, 5.678, 0.717,  6.902
12.960, 5.713, 0.788,  6.951
12.970, 5.751, 0.796,  7.000
13.025, 5.949, 0.992,  7.242
13.038, 5.994, 0.974,  7.289
13.051, 6.038, 0.985,  7.337
13.114, 6.332, 1.312,  7.594
13.128, 6.397, 1.359,  7.643
13.137, 6.440, 1.403,  7.689
13.233, 6.857, 1.958,  7.931
13.255, 6.952, 2.067,  7.980
13.279, 7.055, 2.163,  8.029
13.347, 7.622, 2.503,  8.271
13.358, 7.743, 2.555,  8.319
13.369, 7.866, 2.625,  8.367
13.431, 8.631, 3.407,  8.623
13.441, 8.799, 3.582,  8.670
13.450, 8.975, 3.773,  8.719
13.492, 10.036, 4.150,  8.977
13.496, 10.301, 4.145,  9.042
13.509, 11.373, 4.128,  9.300
13.510, 11.577, 4.396,  9.348
13.509, 11.796, 4.681,  9.396
13.503, 13.105, 6.018,  9.638
13.499, 13.399, 6.267,  9.686
13.494, 13.711, 6.518,  9.734
13.457, 15.579, 7.827,  9.993
13.447, 15.961, 8.063, 10.040
13.436, 16.357, 8.299, 10.103
13.374, 18.640, 9.525, 10.371
13.347, 19.540, 9.958, 10.436
13.258, 22.138, 10.866, 10.684
13.239, 22.665, 10.979, 10.732
13.219, 23.195, 11.058, 10.781
13.189, 25.913, 11.016, 11.026
13.196, 26.444, 11.005, 11.075
13.207, 26.982, 10.994, 11.124
13.308, 29.802, 10.982, 11.381
13.334, 30.331, 10.975, 11.429
13.362, 30.855, 10.923, 11.477
13.506, 33.439, 10.355, 11.720
13.543, 34.088, 10.177, 11.784
13.687, 36.664, 9.470, 12.047
13.712, 37.115, 9.350, 12.096
13.736, 37.576, 9.235, 12.145
13.799, 39.790, 9.192, 12.387
13.802, 40.232, 9.267, 12.435
13.804, 40.680, 9.360, 12.483
13.790, 43.029, 9.984, 12.726
13.781, 43.512, 10.118, 12.773
13.771, 43.999, 10.247, 12.821
13.711, 46.497, 10.384, 13.062
13.697, 46.997, 10.341, 13.112
13.682, 47.527, 10.276, 13.164
13.664, 50.172, 9.734, 13.426
13.670, 50.640, 9.623, 13.475
13.679, 51.098, 9.515, 13.523
13.755, 53.351, 9.355, 13.763
13.778, 53.801, 9.380, 13.811
13.800, 54.251, 9.418, 13.861
13.931, 56.583, 9.838, 14.102
13.961, 57.059, 9.942, 14.150
13.991, 57.540, 10.047, 14.199
14.152, 60.016, 10.237, 14.441
14.185, 60.502, 10.229, 14.490
14.207, 60.835, 10.217, 14.524
14.324, 63.281, 9.912, 14.765
14.339, 63.757, 9.831, 14.813
14.350, 64.227, 9.749, 14.862
14.378, 66.579, 9.555, 15.106
14.378, 67.039, 9.545, 15.154
14.376, 67.505, 9.545, 15.204
14.350, 69.999, 9.777, 15.462
14.339, 70.631, 9.865, 15.526
14.295, 73.236, 10.118, 15.785
14.287, 73.720, 10.143, 15.834
14.272, 76.187, 10.054, 16.078
14.276, 76.677, 10.004, 16.126
14.283, 77.154, 9.949, 16.174
14.348, 79.524, 9.718, 16.416
14.366, 79.996, 9.679, 16.464
14.380, 80.305, 9.656, 16.498
14.498, 82.668, 9.680, 16.742
14.525, 83.138, 9.712, 16.790
14.553, 83.602, 9.749, 16.838
14.707, 86.139, 9.954, 17.096
14.737, 86.622, 9.990, 17.145
14.763, 87.113, 10.023, 17.194
14.842, 89.551, 10.005, 17.437
14.848, 90.038, 9.982, 17.486
14.851, 90.517, 9.956, 17.533
14.851, 92.915, 9.812, 17.777
14.847, 93.399, 9.783, 17.825
14.844, 93.712, 9.765, 17.867
14.811, 96.308, 9.760, 18.123
14.804, 96.775, 9.775, 18.173
14.796, 97.261, 9.793, 18.221
14.751, 99.464, 9.896, 18.445
14.741, 99.943, 9.919, 18.495
14.732, 100.434, 9.940, 18.544
14.737, 102.835, 9.955, 18.784
14.747, 103.315, 9.948, 18.833
14.758, 103.805, 9.939, 18.882
14.842, 106.206, 9.867, 19.124
14.864, 106.678, 9.851, 19.173
14.888, 107.155, 9.835, 19.220
15.028, 109.675, 9.822, 19.478
15.048, 109.995, 9.825, 19.524
15.077, 110.447, 9.830, 19.570
15.206, 112.933, 9.884, 19.809
15.224, 113.411, 9.896, 19.858
15.267, 116.000, 9.935, 20.121
15.266, 116.502, 9.938, 20.169
15.263, 116.982, 9.939, 20.217
15.240, 119.540, 9.903, 20.487
15.232, 120.133, 9.890, 20.535
15.182, 122.523, 9.851, 20.778
15.169, 123.002, 9.847, 20.826
15.156, 123.476, 9.842, 20.879
15.144, 125.881, 9.863, 21.118
15.151, 126.379, 9.873, 21.168
15.157, 126.690, 9.878, 21.205
15.241, 129.106, 9.921, 21.446
15.266, 129.597, 9.927, 21.494
15.292, 130.069, 9.932, 21.541
15.442, 132.458, 9.926, 21.782
15.474, 132.928, 9.921, 21.830
15.508, 133.407, 9.915, 21.879
15.695, 135.910, 9.886, 22.133
15.744, 136.544, 9.879, 22.198
15.939, 139.076, 9.876, 22.454
15.963, 139.390, 9.878, 22.490
16.002, 139.911, 9.881, 22.538
16.137, 142.423, 9.906, 22.792
16.154, 142.893, 9.912, 22.840
16.163, 143.208, 9.916, 22.888
16.235, 145.917, 9.930, 23.145
16.245, 146.393, 9.930, 23.195
